species name,Sex,Overall appearance: &lt;Colouring&gt;,Length of prosoma [mm],Length of prosoma by range [mm],Length of femur I : &lt;relative to prosoma&gt;,Prosoma: &lt;appearance&gt;,Fovea clearly visible as darkened groove,Opisthosoma: &lt;appearance&gt;,Dorsal spines on femur I: &lt;count&gt;,Posterior eye row: &lt;form&gt;,Posterior median eye (PME) separation: &lt;relative to diameter (d)&gt;,Headregion of male: &lt;appearance&gt;,Eyes: &lt;appearance&gt;,Anterior median eyes: &lt;size relative to anterior lateral eyes ALE&gt;,Prolateral spines on femur I: &lt;count&gt;,Prolateral spines on tibia I: &lt;count&gt;,Anterior cheliceral teeth: &lt;appearance&gt;,Conspicuous structures on chelicerae: &lt;appearance&gt;,Maxillae: &lt;appearance&gt;,Sternum: &lt;appearance&gt;,Sternum: &lt;extends between coxae IV&gt;,Width of sternum between coxae IV: &lt;relative to width of coxae IV (d)&gt;,Position of trichobothrium on metatarsus I (TmI): &lt;relative to metatarsus&gt;,Position of TmI by range: &lt;relative to metatarsus&gt;,Metatarsus IV dorsally: &lt;presence of trichobothrium (TmIV)&gt;,Dorsal spines on metatarsus I: &lt;count&gt;,Tibia IV: &lt;number of dorsal spines&gt;,"Numbers of dorsal spines on tibia I, II, III, IV: &lt;tibial spine formula&gt;",Tibia I-II ventrally: &lt;presence of spines&gt;,Male pedipalp: femur &lt;appearance&gt;,Male pedipalp: patella &lt;appearance&gt;,Male pedipalp: tibia &lt;appearance&gt;,Male pedipalp: cymbium &lt;appearance&gt;,Male pedipalp: paracymbium &lt;form&gt;,Male pedipalp: branches of paracymbium &lt;presence of teeth&gt;,Male pedipalp: embolus &lt;appearance&gt;,Male pedipalp: lamella characteristica &lt;presence&gt;,Distribution,Female palp: claw &lt;presence&gt;,Epigyne: &lt;appearance&gt;,Epigyne: &lt;form&gt;,Epigyne: &lt;seminal receptacles&gt;,Description of any further conspicuous features:
"Abacoproeces molestus M Thaler, 1973",Male,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,sulci present; with lobe (simple),normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.68,0.60-0.69,trichobothrium present,none,one dorsal spine,1111,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Austria |,,,,,
"Abacoproeces molestus W Thaler, 1973",Female,"inconspicuous, generally dark",0.72,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.67,0.60-0.69,trichobothrium present,none,one dorsal spine,1111,no spines,,,,,,,,,Austria |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Abacoproeces saltuum M (L. Koch, 1872)",Male,"inconspicuous, generally dark",0.91,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,complex; with horns/tufts; sulci present,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.82,0.80-0.89,trichobothrium present,none,one dorsal spine,0011; 1111; 2211,no spines,unremarkable,unremarkable,with complex apophysis,simple,simple,teeth absent,"conspicuous, curled",absent,"Austria | Belarus | Belgium | Bulgaria | Croatia | Czechia | Estonia | Finland | France | Germany | Greece | Hungary | Latvia | Liechtenstein | Lithuania | Moldova | Montenegro | Netherlands | North Macedonia | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Ukraine |",,,,,
"Abacoproeces saltuum W (L. Koch, 1872)",Female,"inconspicuous, generally dark",0.99,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.85,0.80-0.89,trichobothrium present,none,one dorsal spine,1111; 2211,no spines,,,,,,,,,"Austria | Belarus | Belgium | Bulgaria | Croatia | Czechia | Estonia | Finland | France | Germany | Greece | Hungary | Latvia | Liechtenstein | Lithuania | Moldova | Montenegro | Netherlands | North Macedonia | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Ukraine |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Abiskoa abiskoensis M (Holm, 1945)",Male,"inconspicuous, generally dark",1.19,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,patterned,none,recurved,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,,,,,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Finland | Norway | Poland | Russia, Northern | Sweden |",,,,,
"Abiskoa abiskoensis W (Holm, 1945)",Female,"inconspicuous, generally dark",1.05,0.8-1.0; 1.0-1.2,longer than prosoma,inconspicuous,yes,patterned,none,recurved,distinctly less than d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,,,,,,two dorsal spines,2222,no spines,,,,,,,,,"Finland | Norway | Poland | Russia, Northern | Sweden |",,with scape (from anterior margin),protrudes,,
"Acartauchenius scurrilis M (O. P.-Cambridge, 1872)",Male,"inconspicuous, generally dark",0.76,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,with lobe (simple); with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.36,0.30-0.39,trichobothrium absent,none,one dorsal spine,1111,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Finland | France | Germany | Greece | Hungary | Italy | Lithuania | Luxembourg | Montenegro | Netherlands | North Macedonia | Norway | Poland | Romania | Russia, Eastern | Russia, Southern | Serbia | Slovakia | Spain | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",,,,,Eyes very small
"Acartauchenius scurrilis W (O. P.-Cambridge, 1872)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly greater than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.35,0.30-0.39,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,"Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Finland | France | Germany | Greece | Hungary | Italy | Lithuania | Luxembourg | Montenegro | Netherlands | North Macedonia | Norway | Poland | Romania | Russia, Eastern | Russia, Southern | Serbia | Slovakia | Spain | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",Eyes very small
"Agnyphantes expunctus M (O. P.-Cambridge, 1875)",Male,"inconspicuous, generally dark",0.99,0.8-1.0; 1.0-1.2,longer than prosoma,inconspicuous,yes,patterned,none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.25,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,"Albania | Andorra | Austria | Czechia | Finland | France | Germany | Italy | Montenegro | Norway | Poland | Romania | Russia, Eastern | Russia, Northern | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,Tibia I with a pair of ventral bristles
"Agnyphantes expunctus W (O. P.-Cambridge, 1875)",Female,"inconspicuous, generally dark",1,0.8-1.0; 1.0-1.2,longer than prosoma,inconspicuous,yes,patterned,none,straight,distinctly less than d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.26,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,"Albania | Andorra | Austria | Czechia | Finland | France | Germany | Italy | Montenegro | Norway | Poland | Romania | Russia, Eastern | Russia, Northern | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",Tibia I with a pair of ventral bristles
